2023-06-22,ND,7,3
2023-06-23,ND,8,1
2023-06-29,ND,2,9
2023-07-04,ND,1,10
2023-07-05,TD,12,3
2023-07-05,ND,1,9
2023-07-09,TD,4,7
2023-07-08,TD,4,6
2023-07-09,ND,5,3.5
2023-07-14,ND,1,10
2023-07-17,TD,8,4
2023-07-17,ND,5,7
2023-07-21,ND,3,5.5
2023-07-23,ND,2,9
2023-07-23,ND,2,9
2023-07-27,ND,9,1.5
2023-08-01,ND,2,10
2023-08-03,ND,3,8.5
2023-08-08,ND,4,7
2023-08-07,ND,2,9
2023-08-07,ND,2,9
2023-08-11,ND,2,9
2023-08-16,ND,7,5
2023-08-18,ND,3,8
2023-08-29,ND,4,6
2023-08-29,TD,8,2
2023-09-03,TD,3,8
2023-09-04,ND,2,7
2023-09-05,ND,4,7
2023-09-11,ND,1,7
2023-09-13,ND,1,11
2023-09-19,ND,0,7
2023-09-24,ND,5,6
2023-09-24,TD,4,7
2023-10-05,ND,3,8
2023-10-10,TD,10,0
2023-10-10,ND,3,2
2023-10-13,ND,2,10
2023-10-15,TD,3,9
2023-10-18,ND,5,5
2023-10-16,ND,2,6
2023-10-22,ND,6,3
2023-10-25,TD,10,2.5
2023-10-25,ND,3,8
2023-10-28,ND,2,9
2023-10-31,ND,5,5
2023-11-08,ND,3,8
2023-11-13,ND,4,7
2023-11-17,ND,3,6.5
2023-11-19,ND,2,8
2023-11-21,ND,2,10
2023-11-25,ND,6,6
2023-11-28,ND,3,6
2023-12-02,TD,6,4
2023-12-02,ND,5,4
2023-12-06,ND,6,4
2023-12-09,ND,7,4
2023-12-04,ND,5,4
2023-12-15,ND,4,8
2023-12-17,ND,4,6.5
2023-12-17,TD,3,8.5
2023-12-18,ND,2,10
2023-12-20,ND,4,6
2023-12-26,ND,4,6
2023-12-30,ND,3,8
2024-01-05,ND,2,8.5
2024-01-10,ND,4,5
2024-01-14,TD,3,7.5
2024-01-16,ND,2,9.5
